,changeeconomy,econpersonalretro,changeimmig,controlimmig,effectseunhs,effectseuunemployment,effectseuimmigration,effectseuecon,happyeuleave
205,-0.5,-0.5,1.0,1.0,1,-1,1,-2,1
206,1.0,1.0,0.5,1.0,1,1,1,1,1
207,-0.5,1.0,1.0,1.0,1,1,1,-1,1
208,1.0,6.0,1.0,1.0,-1,1,-1,-1,1
209,1.0,1.0,0.5,1.0,3,1,-1,3,2
210,-0.5,1.5,1.0,1.0,-1,1,1,-1,2
211,-0.5,1.5,-0.5,2.0,-2,-2,-1,-1,1
212,-0.5,1.5,1.0,1.0,-1,1,1,-1,2
213,1.0,1.0,2.0,2.0,1,1,-1,1,1
214,-2.0,1.0,1.0,2.0,-1,1,1,-1,1
215,1.0,1.0,0.5,1.0,3,1,-1,3,2
216,-2.0,-2.0,1.0,1.0,1,1,1,1,2
217,1.5,1.0,-0.5,0.5,1,1,1,1,1
218,-0.5,1.0,1.0,1.0,-1,1,1,-1,2
219,1.0,1.0,1.0,0.5,1,1,-2,1,1
220,-0.5,-0.5,1.0,1.0,1,1,-1,3,1
221,-0.5,-2.0,2.0,1.0,6,1,-1,1,2
222,1.0,-0.5,1.0,1.0,-1,1,1,-2,1
223,1.0,1.0,1.0,1.0,1,1,1,1,1
224,1.0,1.0,1.0,2.0,3,1,-1,3,1
225,1.5,1.0,0.5,2.0,1,-1,-1,-1,2
226,-0.5,1.0,1.0,1.0,1,1,1,-1,2
227,-2.0,-0.5,1.0,1.0,-2,1,1,-2,2
228,1.0,1.0,1.0,2.0,1,1,1,1,1
229,-0.5,-0.5,1.0,0.5,1,1,-1,-1,1
230,1.5,1.0,2.0,1.0,6,1,-2,3,2
231,-2.0,1.5,1.0,1.0,-2,1,1,-1,2
232,1.0,1.0,-0.5,2.0,1,1,-1,1,1
233,1.5,1.0,-0.5,2.0,3,1,-1,3,1
234,1.5,1.0,1.0,1.0,3,-1,1,3,2
235,-0.5,-0.5,0.5,1.0,-1,1,1,-1,1
236,-2.0,1.0,1.0,1.0,1,1,1,1,2
237,1.0,-0.5,1.0,2.0,3,-1,1,1,1
238,1.0,1.0,1.0,1.0,1,-1,-1,1,1
239,-2.0,-0.5,1.0,1.0,-2,2,2,-2,2
240,-0.5,1.0,-0.5,1.0,-1,1,-1,-1,1
241,1.0,1.0,1.0,1.0,1,1,1,1,1
242,1.5,1.0,1.0,1.0,1,-1,-1,1,2
243,-0.5,-0.5,-0.5,1.0,-1,1,1,-1,1
244,1.0,1.0,2.0,1.0,3,-1,-1,3,2
245,1.0,1.0,0.5,2.0,1,1,-1,1,1
246,1.0,1.0,1.0,1.0,1,1,1,1,1
247,1.0,-0.5,1.0,2.0,1,1,1,1,1
248,1.0,1.0,0.5,0.5,1,1,1,1,1
249,1.0,1.0,0.5,1.0,1,1,1,1,2
250,-0.5,1.0,-0.5,1.0,-1,1,1,-1,1
251,-0.5,-2.0,1.0,1.0,1,1,1,1,2
252,-0.5,1.5,1.0,0.5,-1,1,1,-1,1
253,1.0,1.0,0.5,2.0,3,1,-1,1,1
254,1.0,1.0,-0.5,1.0,3,1,-1,1,1
255,-0.5,6.0,-0.5,1.0,-1,1,-2,-2,1
256,1.0,1.0,1.0,1.0,1,1,1,3,1
257,1.0,1.0,1.0,2.0,3,1,-1,1,1
258,-0.5,-0.5,1.0,1.0,1,1,-1,-1,1
259,1.0,1.0,-0.5,1.0,-1,1,-1,1,1
260,1.0,1.0,1.0,2.0,1,1,-1,1,2
261,-2.0,-0.5,1.0,1.0,-2,1,1,-1,1
262,1.0,1.0,0.5,1.0,3,1,-1,3,1
263,-2.0,-0.5,1.0,0.5,-2,2,1,-2,2
264,1.0,1.5,-0.5,1.0,1,-1,-1,3,2
265,-2.0,-2.0,-0.5,0.5,-1,-2,-2,-2,1
266,1.0,1.0,1.0,2.0,1,1,-1,1,1
267,1.0,1.0,-0.5,2.0,1,1,1,1,1
268,-0.5,1.0,-0.5,1.0,1,1,-1,-1,2
269,1.5,1.0,-0.5,2.0,3,-1,-2,3,2
270,1.0,1.5,-0.5,1.0,3,1,-1,3,2
271,1.0,-0.5,1.0,0.5,1,1,1,1,1
272,-0.5,-0.5,-0.5,1.0,-1,1,-1,-2,2
273,-2.0,-2.0,2.0,1.0,-2,-1,-1,1,2
274,-2.0,1.5,1.0,0.5,-1,2,1,-2,2
275,-2.0,-0.5,1.0,0.5,-1,2,1,-2,2
276,-2.0,-0.5,1.0,1.0,-2,2,1,-2,2
277,-2.0,-2.0,1.0,1.0,-1,2,1,-1,2
278,-2.0,1.0,2.0,2.0,3,1,-1,3,1
279,-2.0,-0.5,1.0,0.5,-2,2,-1,-2,2
280,1.0,1.0,0.5,1.0,1,-2,1,1,1
281,-0.5,1.0,0.5,1.0,1,1,-1,1,2
282,-2.0,-2.0,2.0,1.0,-1,2,-1,-1,2
283,-0.5,1.0,1.0,2.0,-1,1,1,-1,2
284,1.0,1.0,1.0,2.0,1,1,-1,1,2
285,1.0,-2.0,-0.5,2.0,-2,1,-1,-1,1
286,-2.0,1.0,0.5,0.5,-2,2,1,-2,2
287,-2.0,-2.0,2.0,1.0,-1,1,-2,-1,2
288,-0.5,1.0,1.0,2.0,1,1,1,-1,1
289,-0.5,1.5,1.0,1.0,-1,1,1,-1,1
290,-2.0,-0.5,1.0,0.5,-2,2,1,-1,2
291,1.5,1.0,0.5,1.0,1,-1,1,1,1
292,-2.0,-0.5,1.0,1.0,-2,2,1,-2,2
293,-0.5,1.0,1.0,1.0,-1,1,1,-1,1
294,1.5,1.5,-0.5,2.0,1,1,1,1,1
295,1.0,6.0,1.0,0.5,1,1,1,1,1
296,-0.5,1.0,1.0,1.0,1,1,-1,-1,1
297,-0.5,1.0,2.0,1.0,1,1,-1,1,2
298,-2.0,-2.0,1.0,0.5,-2,2,1,-2,2
299,1.0,-0.5,1.0,2.0,1,-1,-1,3,2
300,-0.5,-0.5,0.5,2.0,-1,1,-1,1,1
301,1.5,1.0,1.0,1.0,-1,1,-1,1,1
302,1.0,1.0,1.0,1.0,-1,1,1,-1,1
303,1.0,-0.5,-0.5,1.0,1,-1,-1,3,2
304,1.0,-0.5,1.0,1.0,1,1,1,1,1
305,1.0,1.0,1.0,1.0,1,1,-1,1,1
306,-0.5,-2.0,1.0,2.0,-1,1,-1,-1,1
307,-0.5,1.0,0.5,1.0,1,1,1,1,1
308,-0.5,-0.5,-0.5,2.0,-2,1,1,1,1
309,1.0,1.5,1.0,1.0,3,-1,-1,3,1
310,1.0,1.5,0.5,1.0,1,1,-1,3,1
311,1.0,1.0,1.0,0.5,-2,1,1,-1,2
312,-2.0,-0.5,2.0,1.0,1,1,1,1,2
313,1.0,1.5,1.0,1.0,3,1,1,3,2
314,-2.0,-0.5,-0.5,1.0,-2,1,1,-1,2
315,-2.0,1.0,0.5,1.0,1,2,1,1,1
316,1.0,6.0,-0.5,1.0,3,1,-1,1,1
317,-0.5,-0.5,-0.5,1.0,-1,1,1,-1,1
318,-2.0,-2.0,0.5,1.0,-2,2,1,-2,2
319,-0.5,1.0,-0.5,1.0,1,1,1,1,1
320,-0.5,-2.0,2.0,1.0,-1,1,-2,-1,1
321,1.0,1.5,0.5,2.0,3,1,-1,3,2
322,1.0,-0.5,1.0,1.0,1,1,1,1,1
323,1.0,-2.0,1.0,1.0,1,1,-1,1,2
324,1.0,-0.5,1.0,1.0,1,1,1,-1,1
325,1.0,6.0,1.0,1.0,-1,1,1,-1,1
326,1.5,-2.0,-0.5,1.0,1,-1,-1,1,2
327,1.0,1.0,-0.5,1.0,1,1,-1,1,1
328,1.0,1.0,1.0,1.0,3,1,-1,-1,1
329,-0.5,-0.5,1.0,0.5,-1,1,1,-1,1
330,-0.5,-0.5,1.0,2.0,1,1,1,-1,1
331,-0.5,1.0,1.0,2.0,1,1,-1,1,1
332,1.0,1.0,0.5,2.0,1,1,-2,3,2
333,-0.5,1.0,1.0,1.0,1,1,1,-1,1
334,1.0,1.0,1.0,2.0,3,1,1,3,2
335,1.0,1.0,0.5,2.0,3,-1,-2,3,2
336,1.0,1.0,1.0,1.0,-1,1,-1,-1,2
337,-2.0,1.0,1.0,1.0,-2,2,-1,-2,2
338,-2.0,-2.0,0.5,1.0,-1,1,1,-1,2
339,-0.5,-0.5,0.5,1.0,1,1,1,1,1
340,1.0,1.0,1.0,1.0,1,-1,1,3,1
341,1.0,1.0,0.5,2.0,1,1,-1,3,2
342,1.0,1.0,1.0,1.0,1,1,-2,3,2
343,-2.0,-0.5,0.5,1.0,-1,-1,-1,3,1
344,-0.5,-0.5,1.0,2.0,1,1,1,-1,1
345,-0.5,-2.0,1.0,0.5,-1,1,1,-1,1
346,-0.5,1.0,0.5,1.0,1,1,1,-1,1
347,1.5,1.0,2.0,1.0,1,1,1,1,1
348,-0.5,-0.5,1.0,1.0,1,1,-1,-1,2
349,-0.5,6.0,0.5,2.0,1,1,-1,1,2
350,1.0,1.0,1.0,1.0,1,1,1,1,1
351,-0.5,1.0,0.5,1.0,1,1,1,1,2
352,1.0,1.5,1.0,2.0,1,1,1,1,2
353,-2.0,-0.5,0.5,1.0,-1,1,1,-1,2
354,-0.5,1.5,0.5,1.0,1,1,-1,1,2
355,1.0,-0.5,2.0,1.0,3,-1,1,3,1
356,-2.0,1.0,1.0,2.0,-2,1,1,-2,1
357,-0.5,-0.5,0.5,1.0,1,1,-1,1,1
358,-0.5,-0.5,1.0,0.5,-1,1,1,1,1
359,1.0,1.0,0.5,2.0,1,1,-1,3,2
360,-2.0,-0.5,0.5,0.5,-1,2,1,-1,2
361,1.0,1.5,-0.5,1.0,1,1,1,1,1
362,1.5,6.0,1.0,2.0,1,1,1,1,1
363,-0.5,1.0,-0.5,1.0,-1,1,1,-2,2
364,1.0,1.5,1.0,1.0,1,1,1,1,1
365,1.0,1.0,0.5,1.0,1,1,-1,1,2
366,-0.5,1.0,0.5,2.0,1,1,-1,-1,1
367,-0.5,-0.5,0.5,1.0,-2,1,1,-2,1
368,1.0,1.0,2.0,2.0,1,1,-1,1,2
